Optimal Slope: 38.0 deg.
G(i)	T2m
0.0	-2.0
7.3	-1.85
23.74	-1.42
56.61	-0.75
67.56	0.2
82.17	0.96
109.56	1.4
82.17	1.44
79.43	1.31
49.3	1.13
5.48	1.06
0.0	0.87
0.0	0.8
0.0	0.62
0.0	0.36
0.0	0.02
0.0	-0.13
0.0	-0.2
0.0	-0.22
0.0	-0.47
0.0	-0.62
0.0	-0.74
0.0	-0.88
0.0	-1.01
0.0	-1.23
145.73	-1.35
112.71	-1.39
67.56	-1.33
143.34	-1.18
73.04	-1.01
122.34	-0.88
84.0	-0.98
37.43	-0.99
18.26	-1.2
5.48	-1.59
0.0	-2.15
0.0	-2.48
0.0	-3.01
0.0	-3.89
0.0	-4.27
0.0	-4.7
0.0	-5.19
0.0	-5.29
0.0	-5.73
0.0	-5.92
0.0	-5.92
0.0	-6.07
0.0	-6.64
0.0	-7.43
246.99	-7.58
35.61	-7.69
86.74	-5.29
118.69	-4.11
113.21	-3.67
74.87	-3.29
116.87	-3.08
92.21	-2.96
86.73	-3.12
7.3	-3.86
0.0	-5.81
0.0	-8.24
0.0	-10.12
0.0	-11.08
0.0	-9.38
0.0	-9.46
0.0	-8.96
0.0	-7.87
0.0	-7.25
0.0	-6.75
0.0	-6.52
0.0	-6.47
0.0	-6.75
0.0	-7.18
9.13	-7.64
32.87	-7.11
84.91	-5.04
111.39	-3.7
107.74	-2.62
75.78	-1.86
112.3	-1.17
154.48	-0.86
66.65	-0.66
4.57	-0.92
0.0	-0.95
0.0	-0.72
0.0	-0.59
0.0	-0.12
0.0	-1.49
0.0	-1.52
0.0	-1.56
0.0	-1.81
0.0	-2.02
0.0	-2.35
0.0	-2.41
0.0	-2.17
0.0	-2.36
0.0	-2.69
9.13	-2.65
320.71	-1.73
440.05	-0.46
208.75	1.7
258.31	2.24
204.27	2.77
199.6	3.03
105.91	3.16
81.13	2.86
7.3	2.65
0.0	2.46
0.0	2.45
0.0	2.57
0.0	2.9
0.0	2.38
0.0	2.75
0.0	3.63
0.0	4.48
0.0	4.56
0.0	4.39
0.0	4.24
0.0	4.19
0.0	4.09
0.0	3.84
9.13	3.96
22.83	4.26
161.44	5.42
125.08	5.91
164.34	6.07
168.07	6.5
110.48	6.81
42.0	7.13
18.26	6.86
4.57	6.27
0.0	5.73
0.0	5.46
0.0	5.76
0.0	5.42
0.0	5.61
0.0	5.79
0.0	5.97
0.0	5.73
0.0	5.25
0.0	4.95
0.0	5.04
0.0	5.14
0.0	4.91
0.0	4.06
17.35	3.32
42.91	4.37
59.35	7.14
90.39	7.59
91.3	8.19
86.74	8.25
76.69	8.28
63.0	7.87
64.82	5.25
7.3	1.91
0.0	1.08
0.0	0.86
0.0	0.6
0.0	-0.01
0.0	-0.67
0.0	-1.13
0.0	-1.5
0.0	-1.77
0.0	-1.92
0.0	-1.66
0.0	-1.23
0.0	-0.68
0.0	0.19
0.0	0.84
10.04	1.56
109.96	2.57
331.3	3.82
235.51	4.82
246.19	6.12
245.16	6.6
617.66	7.0
301.29	6.81
355.78	6.22
6.39	5.62
0.0	4.86
0.0	5.19
0.0	5.55
0.0	5.41
0.0	5.75
0.0	5.82
0.0	5.83
0.0	4.9
0.0	4.45
0.0	4.3
0.0	4.41
0.0	4.26
0.0	4.07
0.0	3.81
439.69	4.07
550.01	4.48
119.61	4.73
131.47	4.78
254.68	5.13
446.61	5.52
205.48	4.79
262.97	4.78
19.17	4.41
9.13	3.59
0.0	2.76
0.0	2.2
0.0	1.61
0.0	1.0
0.0	-0.03
0.0	-0.65
0.0	-1.06
0.0	-1.4
0.0	-1.52
0.0	-1.84
0.0	-1.89
0.0	-1.61
0.0	-1.87
0.0	-2.46
14.61	-2.82
56.61	-2.93
116.87	-3.37
336.44	-3.05
499.88	-2.3
403.86	-1.29
379.87	-0.52
602.87	-0.4
350.97	-0.66
105.6	-1.4
0.0	-2.44
0.0	-3.28
0.0	-3.88
0.0	-4.43
0.0	-5.52
0.0	-5.8
0.0	-6.22
0.0	-6.61
0.0	-6.74
0.0	-7.11
0.0	-7.62
0.0	-7.77
0.0	-7.77
0.0	-7.69
493.83	-6.42
659.48	-4.19
569.08	-1.91
719.9	0.38
1095.1	2.34
983.62	3.7
866.93	4.56
659.89	4.83
390.35	4.79
119.15	4.05
0.0	1.65
0.0	-0.7
0.0	-1.74
0.0	-2.23
0.0	-2.45
0.0	-2.59
0.0	-2.76
0.0	-2.94
0.0	-3.21
0.0	-3.53
0.0	-3.64
0.0	-3.26
0.0	-2.74
0.0	-2.44
48.39	-1.39
113.2	1.27
870.4	3.77
989.81	6.93
1016.36	8.94
1000.72	10.88
815.98	12.1
272.4	12.76
40.17	12.43
21.91	10.57
0.0	7.26
0.0	4.7
0.0	3.43
0.0	2.78
0.0	3.34
0.0	3.23
0.0	3.0
0.0	2.79
0.0	3.03
0.0	3.27
0.0	3.58
0.0	4.03
0.0	4.3
0.0	4.13
163.44	4.52
344.9	7.2
360.77	10.72
390.72	14.4
397.76	17.04
200.86	18.6
115.04	19.34
168.89	19.41
70.3	18.93
77.88	17.16
0.0	13.77
0.0	13.17
0.0	8.98
0.0	5.64
0.0	4.22
0.0	3.43
0.0	3.09
0.0	2.93
0.0	2.67
0.0	2.51
0.0	2.53
0.0	2.52
0.0	2.5
0.0	2.44
404.97	3.5
720.33	6.95
884.1	12.13
934.76	15.76
697.41	17.85
942.96	18.75
792.14	19.05
608.9	18.98
245.86	18.47
12.78	16.91
0.0	14.12
0.0	11.01
0.0	9.49
0.0	8.79
0.0	7.9
0.0	6.97
0.0	5.8
0.0	4.91
0.0	4.28
0.0	3.71
0.0	3.57
0.0	3.79
0.0	3.98
0.0	4.11
148.14	4.41
311.25	7.97
475.28	12.81
226.38	14.88
280.57	15.76
241.95	16.16
